SL,ID,Name,Phone,Email,Logo,Latitude,Longitude,Address,"Footer text","Minimum order",Comission,Status,"Vendor id","Cover photo",TAX,"Zone id","Off day",GST,"Self delivery system","Minimum delivery charge","Delivery time",Veg,"Non Veg","Order count","Total order","Module id","Order place to schedule interval",Featured,"Delivery charge per KM"
12,12,"Sk General Store",02000000007,grocery.store7@demo.com,2022-03-22-6239612723d1a.png,24.77703362541128,76.00527133469707,"House: 00, Road: 00, City-000, Country",,0,,1,12,2022-03-22-62396127250e3.png,10,1," ",,0,0,"2-3 hours",1,1,1,0,1,0,0,0
13,13,GreeenLab,01000000006,pharmacy.store6@demo.com,2022-03-22-623961c91f2dc.png,30.397798839424116,76.66121147028,"House: 00, Road: 00, City-0000, Country",,0,,1,13,2022-03-22-623961c92093c.png,10,1," ",,0,0,"30-40 min",1,1,0,1,2,0,1,0
14,14,"Smart Shopping",02000000008,grocery.store8@demo.com,2022-03-22-623961d98ca1e.png,55.548064070932966,-3.0925781833892385,"House: 00, Road: 00, City-000, Country",,0,,1,14,2022-03-22-623961d98e251.png,10,1," ",,0,0,"2-3 hours",1,1,1,1,1,0,1,0
15,15,"Green Pharmacy",01000000007,pharmacy.store7@demo.com,2022-03-22-6239628a9ff9e.png,30.599932308721677,-103.83811540101335,"House: 00, Road: 00, City-0000, Country",,0,,1,15,2022-03-22-6239628aa1683.png,10,1," ",,0,0,"30-40 min",1,1,0,0,2,0,1,0
16,16,"Vegan Market",02000000009,grocery.store9@demo.com,2022-03-22-623962c0d208d.png,62.40609151320443,93.69678968548887,"House: 00, Road: 00, City-000, Country",,0,,1,16,2022-03-22-623962c0d33f5.png,10,1," ",,0,0,"2-3 hours",1,1,0,1,1,0,0,0
17,17,"Wellness Center",01000000008,pharmacy.store8@demo.com,2022-03-22-6239636055666.png,41.658840055376054,-87.76077901736758,"House: 00, Road: 00, City-0000, Country",,0,,1,17,2022-03-22-62396360568e4.png,10,1," ",,0,0,"30-40 min",1,1,0,0,2,0,0,0
18,18,"Veggie Market",0200000010,grocery.store10@demo.com,2022-03-22-6239637245c4e.png,25.000485800720245,76.9048860354603,"House: 00, Road: 00, City-000, Country",,0,,1,18,2022-03-22-62396372472b6.png,10,1," ",,0,0,"2-3 hours",1,1,0,1,1,0,0,0
19,19,"Wellness Health and Wellbeing",01000000009,pharmacy.store9@demo.com,2022-03-22-6239643aed609.png,40.131919154356545,-106.01206809892592,"House: 00, Road: 00, City-0000, Country",,0,,1,19,2022-03-22-6239643aeec4a.png,10,1," ",,0,0,"30-40 min",1,1,0,0,2,0,0,0
20,20,"KR Pharmacy",010000000010,pharmacy.store10@demo.com,2022-03-22-623964e669d46.png,13.075629133434415,77.74477913420739,"House: 00, Road: 00, City-0000, Country",,0,,1,20,2022-03-22-623964e66bc91.png,10,1," ",,0,0,"30-40 min",1,1,0,0,2,0,0,0
21,21,"KR Fashion",010000000011,ecommerce.store6@demo.com,2022-03-22-623966a86f841.png,26.554105530864092,76.386851024013,"House: 00, Road: 00, City-0000, Country",,0,,1,21,2022-03-22-623966a870c50.png,15,1," ",,0,0,"3-5 days",1,1,0,1,3,0,1,0
22,22,Bicycle,030000000001,ecommerce.store1@demo.com,2022-03-22-623966b845b61.png,38.538314573716,86.84759046509035,"House: 00, Road: 00, City-000, Country",,0,,1,22,2022-03-22-623966b8475f7.png,15,1," ",,0,0,"3-5 days",1,1,0,1,3,0,0,0
23,23,"Clove Mart",03000000002,ecommerce.store3@demo.com,2022-03-22-6239672a38c72.png,54.64764486703102,-2.6813962727392804,"House: 00, Road: 00, City-000, Country",,0,,1,23,2022-03-22-6239672a39d4d.png,15,1," ",,0,0,"2-3 hours",1,1,0,0,3,0,0,0
24,24,"Online Shopping",010000000012,ecommerce.store7@demo.com,2022-03-22-6239674229bf4.png,43.62528925737973,-112.52655040780941,"House: 00, Road: 00, City-0000, Country",,0,,1,24,2022-03-22-623967422bd55.png,15,1," ",,0,0,"3-5 days",1,1,0,0,3,0,0,0
25,25,"Coral Jewlry",03000000004,ecommerce.store4@demo.com,2022-03-22-623967d32a327.png,30.135172960986303,77.06761127981054,"House: 00, Road: 00, City-000, Country",,0,,1,25,2022-03-22-623967d32b633.png,13,1," ",,0,0,"2-5 days",1,1,0,0,3,0,0,0
26,26,"Organic Market",010000000013,ecommerce.store8@demo.com,2022-03-22-623967e6c01ad.png,40.70666615117246,-73.98379497726798,"House: 00, Road: 00, City-0000, Country",,0,,1,26,2022-03-22-623967e6c1914.png,15,1," ",,0,0,"3-5 days",1,1,1,1,3,0,0,0
27,27,"Fashion Store",03000000005,ecommerce.store5@demo.com,2022-03-22-623968b32750c.png,24.84819344156354,47.74403327796517,"House: 00, Road: 00, City-000, Country",,0,,1,27,2022-03-22-623968b328c30.png,11,1," ",,0,0,"3-5 days",1,1,0,0,3,0,1,0
28,28,"Shoes Fashion",010000000014,ecommerce.store9@demo.com,2022-03-22-623968d386fde.png,21.602453989834657,78.60243619574567,"House: 00, Road: 00, City-0000, Country",,0,,1,28,2022-03-22-623968d388208.png,15,1," ",,0,0,"3-5 days",1,1,0,0,3,0,0,0
29,29,"Hair Salon",030000000010,ecommerce.store10@demo.com,2022-03-22-6239696b9443d.png,18.645993335372577,29.48406928870736,"House: 00, Road: 00, City-000, Country",,0,,1,29,2022-03-22-6239696b9f6a3.png,14,1," ",,0,0,"3-5 days",1,1,0,0,3,0,0,0
30,30,"Eco Market",020000000011,grocery.store11@demo.com,2022-03-23-623a9cf1ef100.png,30.14489736854462,68.24383491370736,"House: 00, Road: 00, City-000, Country",,0,,1,30,2022-03-23-623a9cf1f03ec.png,10,1," ",,0,0,"2-5 days",1,1,0,0,1,0,0,0
31,31,"Morning Mart",020000000012,grocery.store12@demo.com,2022-03-23-623a9e829a597.png,55.25777851032635,-4.061415643344608,"House: 00, Road: 00, City-000, Country",,0,,1,31,2022-03-23-623a9e829bc1e.png,15,1," ",,0,0,"3-5 days",1,1,0,0,1,0,0,0
32,32,"Fast Market",020000000013,grocery.store13@demo.com,2022-03-23-623a9ff98c568.png,26.961926920651816,17.237403334117516,"House: 00, Road: 00, City-000, Country",,0,,1,32,2022-03-23-623a9ff98e15c.png,15,1," ",,0,0,"3-5 days",1,1,0,1,1,0,0,0
33,33,Supermarket,020000000014,grocery.store14@demo.com,2022-03-23-623aa0d59d6b2.png,21.942799029254278,74.27113001289149,"House: 00, Road: 00, City-000, Country",,0,,1,33,2022-03-23-623aa0d59f1ae.png,15,1," ",,0,0,"3-5 days",1,1,1,1,1,0,0,0
34,34,"Country Fair",020000000015,grocery.store15@demo.com,2022-03-23-623aa192a4278.png,51.954147509104324,-0.8882492200658865,"House: 00, Road: 00, City-000, Country",,0,,1,34,2022-03-23-623aa192a54b7.png,15,1," ",,0,0,"3-5 days",1,1,0,0,1,0,0,0
35,35,Butterfly,01000000020,ecommerce.store20@demo.com,2022-03-23-623aa864cbe3e.png,24.722442468001805,46.73691788497441,"House: 00, Road: 00, City-000, Country",,0,,1,35,2022-03-23-623aa864cd44e.png,10,2," ",,0,0,"3-5 days",1,1,0,1,3,0,0,0
36,36,"Royal Crown",010000000021,ecommerce.store21@demo.com,2022-03-23-623aa924ef9df.png,26.88325699786026,80.79720808547215,"House: 00, Road: 00, City-000, Country",,0,,1,36,2022-03-23-623aa924f3706.png,15,1," ",,0,0,"2-3 days",1,1,0,0,3,0,0,0
37,37,"Orderly Fashion",010000000022,ecommerce.store22@demo.com,2022-03-23-623aaae7badfc.png,24.715116247802094,46.734392640440085,"House: 00, Road: 00, City-000, Country",,10,25,1,37,2022-03-23-623aaae7bf150.png,13,2," ",,0,0,"10-25 min",1,1,3,4,3,,0,0
38,38,"Art Apparel",010000000023,ecommerce.store23@demo.com,2022-03-23-623aabb581764.png,41.66168500331119,-74.7469999376159,"House: 00, Road: 00, City-000, Country",,0,,1,38,2022-03-23-623aabb583c02.png,10,1," ",,0,0,"3-5 days",1,1,0,0,3,0,0,0
39,39,Miracle,010000000024,ecommerce.store24@demo.com,2022-03-23-623aac3b22f85.png,13.568402818540033,77.73900594018491,"House: 00, Road: 00, City-000, Country",,0,,1,39,2022-03-23-623aac3b272d2.png,10,1," ",,0,0,"3-5 days",1,1,0,0,3,0,0,0
40,40,"Medi Mask",010000000028,pharmacy.store28@demo.com,2022-03-23-623ab0171a721.png,47.41815148951825,-122.03318840172233,"House: 00, Road: 00, City-0000, Country",,0,,1,40,2022-03-23-623ab0171c0e5.png,10,1," ",,0,0,"30-40 min",1,1,0,0,2,0,0,0
41,41,"Alpha Medicine Store",010000000030,pharmacy.store30@demo.com,2022-03-23-623ab0b0e455b.png,27.8649465355684,76.11622566077767,"House: 00, Road: 00, City-0000, Country",,0,,1,41,2022-03-23-623ab0b0e9f87.png,15,1," ",,0,0,"30-40 min",1,1,0,0,2,0,0,0
42,42,"Medi Care",01000000031,pharmacy.store31@demo.com,2022-03-23-623ab14f108d2.png,38.91380344544215,-105.07029777672233,"House: 00, Road: 00, City-0000, Country",,0,,1,42,2022-03-23-623ab14f141b0.png,15,1," ",,0,0,"30-40 min",1,1,0,0,2,,0,0
43,43,"Medi Store",010000000032,pharmacy.store32@demo.com,2022-03-23-623ab1dca493b.png,17.354607455868393,76.87402145972766,"House: 00, Road: 00, City-0000, Country",,0,,1,43,2022-03-23-623ab1dcac716.png,10,1," ",,0,0,"30-40 min",1,1,0,0,2,,0,0
44,44,Infi-Health,01000000033,pharmacy.store33@demo.com,2022-03-23-623ab253ac99c.png,41.91067896783727,-88.54440099193698,"House: 00, Road: 00, City-0000, Country",,0,,1,44,2022-03-23-623ab253bbc05.png,13,1," ",,0,0,"30-40 min",1,1,0,0,2,0,0,0
45,45,"Café Monarch",+910111111111,joshef.doe1025822@gmail.com,2021-08-20-611fc4cd9c598.png,19.055908041476712,72.92335204083659,"Ghatkopar - Mankhurd Link Road, Indian Oil Nagar, Mumbai",,0,0,1,45,2021-08-20-611fc4cd9d52b.png,10,1," ",,0,0,"30-40 min",0,1,2,3,4,0,0,0
46,46,"Hungry Puppets",+101747410000,test.restaurant@gmail.com,2021-08-20-611fc6cd6b011.png,25.186958967714926,85.00810402562027,"House: 00, Road: 00, Test City",,0,,1,46,2021-08-20-611fc6cd6b218.png,5,1,17,"{""status"":null,""code"":null}",1,0,"30-40 min",1,1,2,8,4,0,0,0
47,47,"Cheesy Restaurant",0166666666,robert@gmail.com,2021-08-20-611fc7b17088c.png,23.62608237589538,90.34303799676506,"101/4 Mohammadpur, Dhaka",,0,0,1,47,2021-08-20-611fc7b17153c.png,15,1," ",,0,0,"30-40 min",1,1,0,0,4,0,0,0
48,48,"Cheese Burger",+88525695888,test.restaurant1@gmail.com,2021-08-20-611fc9b200e8c.png,25.506848691070893,74.1576624261471,"House:00, Road:00, Test City",,0,,1,48,2021-08-20-611fc9b201ad6.png,2,1," ",,0,0,"30-40 min",1,1,0,0,4,0,0,0
49,49,"Frying Nemo",+6024588888,test.restaurant2@gmail.com,2021-08-20-611fca3b81ea9.png,30.319874842864174,67.4779749261471,"House: 15, Road: 5, Aukland",,0,,1,49,2021-08-20-611fca3b82b4e.png,5,1," ",,0,0,"30-40 min",1,1,0,1,4,0,0,0
50,50,"The Great Impasta",+8565222222,test.restaurant3@gmail.com,2021-08-20-611fcae713d25.png,16.23811767032843,102.01555732360804,"House:00, Road: 00, Street: 00, City Test",,0,,1,50,2021-08-20-611fcae7149c7.png,0,1," ",,0,0,"30-40 min",1,1,0,0,4,0,0,0
51,51,"Vintage Kitchen",+12562458744,test.restaurant4@gmail.com,2021-08-21-612008a117429.png,34.037046130269005,71.57724860778772,"House: 00, Road: 00, Streed:00, Test City",,50,20,1,51,2021-08-21-612008a11803f.png,10,1," ",,0,0,"30-40 min",1,1,0,0,4,0,0,0
52,52,"The Capital Grill",+12584555555,test.restaurant5@gmail.com,2021-08-21-612009adefa47.png,28.55772186629488,83.20696357360804,"House: 00, Road: 00, Streed:00, Test City",,0,,1,52,2021-08-21-612009adf0b9b.png,15,1," ",,0,0,"30-40 min",1,1,1,1,4,0,0,0
53,53,"Tasty Takeaways",880100000000,test.restaurant6@gmail.com,2021-08-21-61200a8ff04a6.png,23.04107198840827,90.98442557922327,"House: 00, Road: 00, Streed:00, Test City",,50,,1,53,2021-08-21-61200a8ff10bc.png,0,1," ",,0,0,"30-40 min",1,1,0,0,4,0,0,0
54,54,"Tasty Lunch",+91025888888,test.restaurant7@gmail.com,2021-08-21-61200b96cd8f4.png,29.63289473286146,76.61516669860804,"House: 00, Road: 00, Streed:00, Test City",,0,25,1,54,2021-08-21-61200b96ce580.png,10,1," ",,0,0,"30-40 min",1,1,0,0,4,0,0,0
55,55,"Redcliff Cafe",+91025558884,test.restaurant8@gmail.com,2021-08-21-61200c725db85.png,22.412810929663856,87.82036307922327,"House: 00, Road: 00, Streed:00, Test City",,100,,1,55,2021-08-21-61200c725e7b0.png,12,1," ",,0,0,"30-40 min",1,1,0,1,4,0,0,0
56,56,"Mini Kebab",+02541255888,test.restaurant10@gmail.com,2021-08-21-61200e081c2b7.png,7.280452008158948,80.63957083753274,"House: 00, Road: 00, Streed:00, Test City",,0,,1,56,2021-08-21-61200e081d0e1.png,7,1," ",,0,0,"30-40 min",1,1,0,0,4,0,0,0
57,57,"Pizza restaurant",+212588888,test.restaurant13@gmail.com,2021-08-21-61200ff9e3cb0.png,15.672099947435255,101.45834449401819,"House: 00, Road: 00, Streed:00, Test City",,0,,1,57,2021-08-21-61200ff9e48c2.png,25,1," ",,0,0,"30-40 min",1,1,0,0,4,0,0,0
58,58,"Italian Fast Food",+91021100000,test.restaurant12@gmail.com,2021-08-21-6120109c340e7.png,23.43469934021078,81.33096221557581,"House: 00, Road: 00, Streed:00, Test City",,200,,1,58,2021-08-21-6120109c34cd8.png,3,1," ",,0,0,"30-40 min",1,1,0,0,4,0,0,0
59,59,"Food Fair",01712251697,marjahan@gmail.com,2021-10-17-616b19f5dc1e1.png,23.753632919207067,90.38490810465919,"road 12, Tejgaon",,0,,0,59,2021-10-17-616b19f5dd002.png,10,3,,"{""status"":""0"",""code"":null}",0,0,"30-40 min",1,1,0,0,4,0,0,0
